"","ASV","taxon","taxonomic_level"
"1","ASV_0002","Clupea pallasii","species"
"2","ASV_0005","Ammodytes hexapterus","species"
"3","ASV_0016","Mallotus villosus","species"
"4","ASV_0019","Ammodytes personatus","species"
"5","ASV_0023","Gymnocanthus tricuspis","species"
"6","ASV_0024","Osmerus mordax","species"
"7","ASV_0038","Lycodes palearis","species"
"8","ASV_0040","Lycodes raridens","species"
"9","ASV_0043","Clupea pallasii","species"
"10","ASV_0046","Pleurogrammus monopterygius","species"
"11","ASV_0047","Asterias amurensis","species"
"12","ASV_0048","Pungitius pungitius","species"
"13","ASV_0049","Stichaeus punctatus","species"
"14","ASV_0055","Gasterosteus aculeatus","species"
"15","ASV_0062","Pholis laeta","species"
"16","ASV_0063","Acantholumpenus mackayi","species"
"17","ASV_0066","Clupea pallasii","species"
"18","ASV_0077","Blepsias bilobus","species"
"19","ASV_0082","Liparis greeni","species"
"20","ASV_0083","Aspidophoroides olrikii","species"
"21","ASV_0087","Eumesogrammus praecisus","species"
"22","ASV_0092","Mallotus villosus","species"
"23","ASV_0103","Oligocottus maculosus","species"
"24","ASV_0105","Artedius lateralis","species"
"25","ASV_0106","Leptoclinus maculatus","species"
"26","ASV_0110","Clupea pallasii","species"
"27","ASV_0112","Aptocyclus ventricosus","species"
"28","ASV_0115","Mallotus villosus","species"
"29","ASV_0117","Ammodytes personatus","species"
"30","ASV_0120","Triglops pingelii","species"
"31","ASV_0123","Artedius harringtoni","species"
"32","ASV_0125","Clupea pallasii","species"
"33","ASV_0128","Clupea pallasii","species"
"34","ASV_0131","Clupea pallasii","species"
"35","ASV_0132","Hexagrammos decagrammus","species"
"36","ASV_0136","Ammodytes hexapterus","species"
"37","ASV_0137","Clupea pallasii","species"
"38","ASV_0138","Ammodytes personatus","species"
"39","ASV_0143","Lycodes polaris","species"
"40","ASV_0144","Mallotus villosus","species"
"41","ASV_0145","Artedius fenestralis","species"
"42","ASV_0149","Ammodytes personatus","species"
"43","ASV_0151","Cymatogaster aggregata","species"
"44","ASV_0161","Clupea pallasii","species"
"45","ASV_0162","Liparis greeni","species"
"46","ASV_0181","Ammodytes personatus","species"
"47","ASV_0184","Cymatogaster aggregata","species"
"48","ASV_0186","Clupea pallasii","species"
"49","ASV_0188","Lycodes palearis","species"
"50","ASV_0193","Ammodytes personatus","species"
"51","ASV_0195","Ammodytes hexapterus","species"
"52","ASV_0201","Ammodytes personatus","species"
"53","ASV_0203","Clupea pallasii","species"
