"qseqid","species","genus","family","order","class","phylum","kingdom","seq_percID","id_rank","top_perc","diff","taxonomic_level","taxon"
"ASV_0079","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"order","Perciformes"
"ASV_0079","Zaprora silenus","Zaprora","Zaproridae","Perciformes","Actinopteri","Chordata","Eukaryota",98.817,2,99.408,0.591000000000008,"order","Perciformes"
"ASV_0619","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.817,1,98.817,0,"order","Perciformes"
"ASV_0619","Zaprora silenus","Zaprora","Zaproridae","Perciformes","Actinopteri","Chordata","Eukaryota",98.225,2,98.817,0.591999999999999,"order","Perciformes"
"ASV_0004","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"family","Stichaeidae"
"ASV_0004","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"family","Stichaeidae"
"ASV_0004","Lumpenus sagitta","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,3,100,0.591999999999999,"family","Stichaeidae"
"ASV_0015","Anisarchus medius","Anisarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"family","Stichaeidae"
"ASV_0015","Poroclinus rothrocki","Poroclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,3,100,0.591999999999999,"family","Stichaeidae"
"ASV_0065","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"family","Stichaeidae"
"ASV_0065","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"family","Stichaeidae"
"ASV_0065","Lumpenus sagitta","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.817,3,99.408,0.591000000000008,"family","Stichaeidae"
"ASV_0122","Anisarchus medius","Anisarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,2,100,0.591999999999999,"family","Stichaeidae"
"ASV_0122","Lumpenella longirostris","Lumpenella","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,2,100,0.591999999999999,"family","Stichaeidae"
"ASV_0122","Poroclinus rothrocki","Poroclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,2,100,0.591999999999999,"family","Stichaeidae"
"ASV_0152","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"family","Stichaeidae"
